q11,q13,q20,q2,q3,q4
0,(2) Fairly satisfied,good,25-44,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,18-24,(1) Male,(5) Quebec
0,(4) Not satisfied at all,bad,25-44,(1) Male,(5) Quebec
0,(4) Not satisfied at all,bad,65+,(1) Male,(5) Quebec
0,(4) Not satisfied at all,bad,18-24,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,18-24,(1) Male,(5) Quebec
1,(3) Not very satisfied,ok,45-64,(1) Male,(5) Quebec
0,(3) Not very satisfied,bad,25-44,(1) Male,(5) Quebec
1,(2) Fairly satisfied,ok,45-64,(1) Male,(5) Quebec
0,(2) Fairly satisfied,ok,25-44,(2) Female,(5) Quebec
0,(2) Fairly satisfied,bad,25-44,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,25-44,(2) Female,(5) Quebec
0,(2) Fairly satisfied,ok,45-64,(1) Male,(5) Quebec
0,(3) Not very satisfied,bad,18-24,(1) Male,(5) Quebec
0,(2) Fairly satisfied,ok,18-24,(1) Male,(10) British Columbia
0,(2) Fairly satisfied,ok,65+,(2) Female,(5) Quebec
0,(4) Not satisfied at all,bad,18-24,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,25-44,(2) Female,(5) Quebec
0,(3) Not very satisfied,bad,18-24,(2) Female,(5) Quebec
0,(2) Fairly satisfied,good,25-44,(2) Female,(5) Quebec
0,(2) Fairly satisfied,ok,45-64,(2) Female,(5) Quebec
0,(3) Not very satisfied,bad,25-44,(1) Male,(5) Quebec
0,(2) Fairly satisfied,ok,25-44,(1) Male,(5) Quebec
0,(4) Not satisfied at all,bad,25-44,(1) Male,(5) Quebec
0,(3) Not very satisfied,good,25-44,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,45-64,(1) Male,(5) Quebec
1,(4) Not satisfied at all,bad,25-44,(2) Female,(5) Quebec
0,(2) Fairly satisfied,perfect,45-64,(2) Female,(5) Quebec
0,(3) Not very satisfied,ok,25-44,(1) Male,(5) Quebec
1,(2) Fairly satisfied,ok,45-64,(2) Female,(5) Quebec
1,(3) Not very satisfied,ok,25-44,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,25-44,(1) Male,(5) Quebec
1,(2) Fairly satisfied,good,45-64,(2) Female,(5) Quebec
0,(3) Not very satisfied,bad,45-64,(1) Male,(5) Quebec
0,(2) Fairly satisfied,good,65+,(1) Male,(5) Quebec
0,(3) Not very satisfied,bad,45-64,(2) Female,(5) Quebec
0,(3) Not very satisfied,ok,18-24,(2) Female,(5) Quebec
